"Term ID","Term Permalink","Term Name","Term Slug",Description,"Parent ID","Parent Name","Parent Slug",Count,"Image URL",product_group_id,product_group_name,category_id,category_name,subcategory_id,subcategory_name,part_type_id,part_type_name,subpart_id,suppart_name,short_description,long_description,turn_off_subcategories_products,category_image
113,http://transamericanautoparts.local/category/door-panel-insert/,"Door Panel Insert",door-panel-insert,,313,"Doors &amp; Door Accessories",doors-door-accessories,0,,,,4wp-us-C87,"Doors & Door Accessories",4wp-us-16390,,,,,,,,,
114,http://transamericanautoparts.local/category/soft-top-door-seal-clip/,"Soft Top Door Seal Clip",soft-top-door-seal-clip,,313,"Doors &amp; Door Accessories",doors-door-accessories,0,,,,4wp-us-C87,"Doors & Door Accessories",4wp-us-15170,,,,,,,,,
115,http://transamericanautoparts.local/category/door-wiring-harness/,"Door Wiring Harness",door-wiring-harness,,313,"Doors &amp; Door Accessories",doors-door-accessories,0,,,,4wp-us-C87,"Doors & Door Accessories",cat1130160,,,,,,,,,
116,http://transamericanautoparts.local/category/door-handle-screw-kit/,"Door Handle Screw Kit",door-handle-screw-kit,,313,"Doors &amp; Door Accessories",doors-door-accessories,0,,,,4wp-us-C87,"Doors & Door Accessories",4wp-us-18616,,,,,,,,,
117,http://transamericanautoparts.local/category/interior-lights-kill-switch/,"Interior Lights Kill Switch",interior-lights-kill-switch,,313,"Doors &amp; Door Accessories",doors-door-accessories,0,,,,4wp-us-C87,"Doors & Door Accessories",cat1130161,,,,,,,,,
118,http://transamericanautoparts.local/category/sliding-window-set/,"Sliding Window Set",sliding-window-set,,313,"Doors &amp; Door Accessories",doors-door-accessories,0,,,,4wp-us-C87,"Doors & Door Accessories",4wp-us-14092,,,,,,,,,
119,http://transamericanautoparts.local/category/door-lock-gasket/,"Door Lock Gasket",door-lock-gasket,,313,"Doors &amp; Door Accessories",doors-door-accessories,0,,,,4wp-us-C87,"Doors & Door Accessories",4wp-us-11411,,,,,,,,,
120,http://transamericanautoparts.local/category/transmission-mounts/,"Transmission Mounts",transmission-mounts,,314,"Drivetrain &amp; Differential",drivetrain-differential,0,,,,4wp-us-C12,"Drivetrain & Differential",4wp-us-SC505,,,,,,,,,
121,http://transamericanautoparts.local/category/performance-axle-components/,"Performance Axle Components",performance-axle-components,,314,"Drivetrain &amp; Differential",drivetrain-differential,0,,,,4wp-us-C12,"Drivetrain & Differential",4wp-us-SC237,,,,,,,,,
122,http://transamericanautoparts.local/category/transfer-case-upgrades-crawl-boxes/,"Transfer Case Upgrades &amp; Crawl Boxes",transfer-case-upgrades-crawl-boxes,,314,"Drivetrain &amp; Differential",drivetrain-differential,0,,,,4wp-us-C12,"Drivetrain & Differential",4wp-us-SC512,,,,,,,,,
